filename,emotion,technique,caption,timestamp,success
3637013.jpg,joy,zero-shot,Happy hearts enjoying the tranquil waterside.,2026-02-27 22:07:00,True
3637013.jpg,joy,few-shot,Every moment spent here with you feels like pure bliss!,2026-02-27 22:07:05,True
3637013.jpg,joy,chain-of-thought,Happily wandering in our green paradise!,2026-02-27 22:07:12,True
3637013.jpg,joy,persona,"Strolling into pure happiness, one beautiful moment at a time.",2026-02-27 22:07:20,True
3637013.jpg,sad,zero-shot,"Another season passes, and still, some goodbyes linger.",2026-02-27 22:07:28,True
3637013.jpg,sad,few-shot,The stillness of the water mirrors a heart heavy with unspoken sorrow.,2026-02-27 22:07:34,True
3637013.jpg,sad,chain-of-thought,"Their embrace, a quiet sorrow in the fading light.",2026-02-27 22:07:42,True
3637013.jpg,sad,persona,"That moment when you know it's the last time, but you cling to the warmth as long as you can.",2026-02-27 22:07:50,True
3637013.jpg,surprised,zero-shot,"What a truly breathtaking, unexpected sight!",2026-02-27 22:07:57,True
3637013.jpg,surprised,few-shot,"Wow, this serene discovery is truly unexpected!",2026-02-27 22:08:04,True
3637013.jpg,surprised,chain-of-thought,Is this real? Absolutely mesmerizing!,2026-02-27 22:08:10,True
3637013.jpg,surprised,persona,"Whoa, I *definitely* wasn't expecting to find a moment this sweet today!",2026-02-27 22:08:21,True
2760167.jpg,joy,zero-shot,Pure joy in every note they sing!,2026-02-27 22:08:26,True
2760167.jpg,joy,few-shot,Our voices unite in a chorus of pure happiness!,2026-02-27 22:08:33,True
2760167.jpg,joy,chain-of-thought,Harmonies of pure joy!,2026-02-27 22:08:39,True
2760167.jpg,joy,persona,Let the harmonious melodies and infectious joy lift your spirits!,2026-02-27 22:08:46,True
2760167.jpg,sad,zero-shot,Their blended voices carried the quiet weight of memory.,2026-02-27 22:08:53,True
2760167.jpg,sad,few-shot,Even a chorus of voices can't fill the quiet void within.,2026-02-27 22:09:01,True
2760167.jpg,sad,chain-of-thought,A harmony that whispers of things lost and longed for.,2026-02-27 22:09:09,True
2760167.jpg,sad,persona,"They sang with the weight of every beautiful memory, each note a silent tear for what's now gone.",2026-02-27 22:09:18,True
2760167.jpg,surprised,zero-shot,"Their voices, a breathtaking surprise!",2026-02-27 22:09:24,True
2760167.jpg,surprised,few-shot,"Wow, I didn't expect such a breathtaking performance!",2026-02-27 22:09:29,True
2760167.jpg,surprised,chain-of-thought,Mind-blowing vocals!,2026-02-27 22:09:36,True
2760167.jpg,surprised,persona,"That look when the harmony hits so perfectly, it even shocks the choir.",2026-02-27 22:09:44,True
3160699.jpg,joy,zero-shot,A joyful smile welcoming you in!,2026-02-27 22:09:53,True
3160699.jpg,joy,few-shot,What a fantastic day to embrace new adventures!,2026-02-27 22:09:59,True
3160699.jpg,joy,chain-of-thought,Opening doors with a smile!,2026-02-27 22:10:06,True
3160699.jpg,joy,persona,"Sending a big, joyful hello right from my doorstep to yours!",2026-02-27 22:10:14,True
3160699.jpg,sad,zero-shot,"At the door, the weight of a quiet goodbye.",2026-02-27 22:10:22,True
3160699.jpg,sad,few-shot,A heavy heart finds little solace in the morning light.,2026-02-27 22:10:30,True
3160699.jpg,sad,chain-of-thought,A quiet burden in the familiar frame.,2026-02-27 22:10:40,True
3160699.jpg,sad,persona,"That smile, caught in a moment I didn't know would become a memory.",2026-02-27 22:10:48,True
3160699.jpg,surprised,zero-shot,"Oh wow, look at you!",2026-02-27 22:11:00,True
3160699.jpg,surprised,few-shot,"Oh, an unexpected visitor!",2026-02-27 22:11:07,True
3160699.jpg,surprised,chain-of-thought,"Holy moly, look who it is!",2026-02-27 22:11:18,True
3160699.jpg,surprised,persona,"Oh, hello there! Fancy seeing *you* at my doorstep.",2026-02-27 22:11:26,True
2689611.jpg,joy,zero-shot,Sweet dreams filling our little one with joy!,2026-02-27 22:11:38,True
2689611.jpg,joy,few-shot,What an amazing feeling of pure happiness!,2026-02-27 22:11:45,True
2689611.jpg,joy,chain-of-thought,Dreaming happy dreams!,2026-02-27 22:11:53,True
2689611.jpg,joy,persona,"This little adventurer is currently deep in the sweetest dreams, perfectly recharging for tomorrow's joyful discoveries!",2026-02-27 22:12:01,True
2689611.jpg,sad,zero-shot,"A small child sleeps, burdened by a quiet, unseen sorrow.",2026-02-27 22:12:10,True
2689611.jpg,sad,few-shot,"Sometimes, all that's left is to close your eyes and wish for a brighter day.",2026-02-27 22:12:16,True
2689611.jpg,sad,chain-of-thought,A quiet ache in a fragile slumber.,2026-02-27 22:12:26,True
2689611.jpg,sad,persona,May her dreams be kinder than the realities she's trying to outsleep.,2026-02-27 22:12:32,True
2689611.jpg,surprised,zero-shot,"Oh wow, completely out cold!",2026-02-27 22:12:40,True
2689611.jpg,surprised,few-shot,"Oh my, I didn't expect them to be asleep already!",2026-02-27 22:12:49,True
2689611.jpg,surprised,chain-of-thought,"Wow, completely lost to the world!",2026-02-27 22:13:00,True
2689611.jpg,surprised,persona,"Seriously, how does one even *begin* to achieve this level of absolute, unbothered sleep?!",2026-02-27 22:13:10,True
3001353.jpg,joy,zero-shot,Happy faces enjoying the lively market buzz and tempting aromas!,2026-02-27 22:13:15,True
3001353.jpg,joy,few-shot,What a fantastic buzz of energy and delicious smells fill this wonderful market!,2026-02-27 22:13:21,True
3001353.jpg,joy,chain-of-thought,Pure delight in this lively market buzz!,2026-02-27 22:13:25,True
3001353.jpg,joy,persona,"Pure joy is finding yourself immersed in vibrant energy, a happy crowd, and the irresistible scent of gourmet curry!",2026-02-27 22:13:34,True
